,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX
AMG,0.7686473854653756,0.6556647537924792,-0.24649925356414035,0.38404566846866817,0.6540170608985603,0.63237494288032,0.4795854043032534,-0.37552707651402684,0.7698411149827388,-0.2147291588370175,1.0,0.6991750676473077,0.5524599928917607,0.7289201851177596,0.3479745143763318,0.7552516847443816,0.7779019436184073,0.6897819915660376,0.8726800203087184,0.45029397781660024,-0.6726563644840268,0.8222438133423968,0.9321373744411818,0.7258427755196343,0.6984756794258878,0.5881055963279469,0.5829987496625927,0.7834418151181504,0.49234451474724544,0.017713385078411876,0.6005171868439182,0.6403253705946296,0.7072858338814499,0.7722372175642951,-0.625807427069978,0.6660117114642569,0.44393711300523214,0.7553570894760779,0.851761927254839,0.7935909641293306,0.7053371365906466,0.7309608647391157,0.5170518331071536,0.7016993947454707,0.5665695891746105,0.6772767559089864,0.7135019436758339,0.3424102991672365,0.6407386532350474,0.7078030723396429,0.36765004982364546,0.26119676388731894,0.8666694164327577,-0.46399565194447234,-0.45828274365166893,0.6591990083337691,0.6298715374064762,0.6605240578198893,0.7902991129535843,0.5851374882431135,0.6128739308021021,0.7400311467289197,0.8102249208528287,0.48742319359236624,0.6183960295158869,0.714016169838506,-0.05413078061856183,0.5281237030706699,0.6498847138575535,0.6974318557800618,0.6840152245075319
AFL,0.9556889210670229,0.967843152938007,0.8657008964868848,0.8581105745716959,0.9794796222459903,0.9267210375293281,0.9356199557382027,-0.048725883899239056,0.8404487405470679,-0.14378029943626278,0.6991750676473077,1.0,0.8527881258201153,0.9828149924556348,0.40069860926059275,0.8650325257751833,0.8988943753466604,0.9508768147958403,0.7693108934784822,0.9019715615187376,0.9561482473007902,0.7266948954964183,0.7714343676624573,0.9755125016657451,0.9412837538282358,0.9754364451041962,0.9771534620670926,0.9162999438930283,0.9425097885228052,0.8005453150123415,0.948131718316181,0.5394251729655202,0.9724690897774763,0.9291363573366596,-0.6376153800099145,0.9668098668208587,0.9672617227825422,0.9228009916983785,0.8824494126603634,0.9675501252389176,0.9212109809036038,0.9822999434536946,0.8828456980467574,0.9790778669873735,0.9558741019884548,0.9782928104523188,0.9418054229709594,0.06362847523077826,0.84601174295173,0.9601125349405811,0.7341960888672573,0.8835341862540638,0.8656037093527909,-0.5496744550172706,0.9314564441594186,0.9716326970208925,0.9443558448510698,0.9745839363032839,0.8601846909203523,0.9567685352533513,0.9624525412552445,0.9213257480873811,0.9287088599077302,0.8830556502878717,0.30515772242876615,0.9630436847734332,0.07571183577605971,0.7762849298680287,0.975347430554805,0.9332137230063862,0.9833389885430478
A,0.8372356852351956,0.8537116203900074,0.900821933168073,0.8281190805722879,0.9700435592790934,0.8297263206523229,0.8721688666526874,0.2187828064811295,0.8161565745725445,0.20169317668422368,0.5524599928917607,0.8527881258201153,1.0,0.8375003165425728,0.6774926932693115,0.7830591505666584,0.7822570921429068,0.7827219588671116,0.67671052743789,0.90921974390985,0.9150701282649417,0.6495759946123303,0.7643950393089077,0.8663798593294647,0.8176493968540226,0.97001576562107,0.9720040515351684,0.7964246590100312,0.8720297863856531,0.7957975224051149,0.8196686975895179,0.5906760871991996,0.8581810358977042,0.8559252926016628,-0.424007155230799,0.907182836243843,0.953656149745548,0.9328885992378096,0.753388306575237,0.8327132737628544,0.8594588322099452,0.8744314861581851,0.9415804735820585,0.8444789614892616,0.957584516767065,0.8823940387385448,0.856011659171347,-0.15151444554123822,0.7640642959111047,0.8623696834571895,0.8840747819120576,0.8854650380422137,0.6705454063844313,-0.39781060998255735,0.9546104580963053,0.8576538359039956,0.9297362730917909,0.8613941643082346,0.8081680956548626,0.8509096220051701,0.8946612423673208,0.7827025288687135,0.7758965397664714,0.8494937187437408,0.15642964442586976,0.819545311704412,-0.005639237953691643,0.8146535762603714,0.8649301191431708,0.7969805055645792,0.8588547404478367
APD,0.9560512906771107,0.9702771699918117,0.8121758975068722,0.8184264945729811,0.9797752974707119,0.907512628793935,0.9120562177583174,-0.09807921339156717,0.8875464424773772,-0.16198660448800598,0.7289201851177596,0.9828149924556348,0.8375003165425728,1.0,0.41522723466629685,0.8953585366466563,0.8875524012686987,0.9434058695203382,0.819435401144292,0.8653566678232477,0.9413360872806774,0.7837903989116327,0.8120033309776213,0.9807467736511234,0.9305269169150199,0.9676999886940205,0.9679678734915369,0.9348363018516567,0.9188851079348177,0.819875216759646,0.9360311455124461,0.5646465031087751,0.980242163738578,0.926663969961897,-0.6663483549435393,0.9687281293763733,0.973125585068553,0.9399600662762795,0.9194162294268869,0.9743230068562396,0.9283756994787767,0.9833755379753988,0.8726055246341321,0.9727415720560948,0.947209419589576,0.9815806128925786,0.9395415135866607,0.06688590327537718,0.8455501632431182,0.9668154241934119,0.7090976086239462,0.8874371883456723,0.8866102754850663,-0.5647831116760097,0.8552737792963079,0.9648487836220843,0.9401099558979951,0.9740526523403601,0.8780774531588688,0.9356182745611069,0.9623887924294168,0.9543753439174242,0.949150655435489,0.855881789770196,0.32440166140520865,0.9842490078278586,0.021559248493261136,0.7599917930727706,0.9670413960084575,0.914729634881408,0.979238349053474
AKAM,0.3895134668418912,0.4084509735281154,0.5850058004086015,0.38499965698604816,0.8329536591824278,0.37402050504872814,0.41020915292511606,0.16502973273543356,0.8621237937062131,0.34081117099910674,0.3479745143763318,0.40069860926059275,0.6774926932693115,0.41522723466629685,1.0,0.4317367513088124,0.36436346140125236,0.3652634465023001,0.43513365527992376,0.6798680239992974,0.44067981917669935,0.4127801366725443,0.8339776257251383,0.4365564741500323,0.3608891032996998,0.8180008889659566,0.816440253265056,0.4029158863092043,0.40703903351478377,0.5553074554080188,0.34393102202888953,0.7024594229945986,0.4109659742156279,0.48181092704776063,-0.23584682552048208,0.5112515801813412,0.7983789394343687,0.8644981013583318,0.41424438519799606,0.4242418665673662,0.4526650610587872,0.43944139205998495,0.5313398063329596,0.4114617615655868,0.7991677240232273,0.433586597131338,0.4174540470870659,-0.06400047946422073,0.38259204213211934,0.43937859657050354,0.5191475256164867,0.8154405858149821,0.3852971411458354,-0.19104175262104245,0.4511871581596293,0.3773396099871057,0.8302271577020665,0.4054892763962375,0.48817257956632254,0.3904231373232303,0.4452738226867765,0.41890617099857336,0.4134981299399725,0.399674286635069,0.12529837065576158,0.4091460763493708,-0.11455365737476061,0.42999498222464594,0.3919117239929437,0.33231330785998825,0.41229628106975935
ALK,0.9373335980820591,0.8511869405810328,0.5109942961561793,0.7094865753744769,0.8978243438919206,0.8671840906896555,0.7683636520708477,-0.14886181189588357,0.925984130460083,-0.13873974248690046,0.7552516847443816,0.8650325257751833,0.7830591505666584,0.8953585366466563,0.4317367513088124,1.0,0.8416558412524624,0.81555628916577,0.874737606329911,0.7202556899306168,0.4238299009776416,0.9263668254803684,0.8892012444776108,0.9230085010201339,0.8689859122228588,0.893606749520593,0.887029622864989,0.9700519775929788,0.7999390841325813,0.764550045494855,0.8387277303763208,0.6850412310232986,0.9143202052246435,0.8311753634854808,-0.5936413529235046,0.8685952341143293,0.85938437801076,0.902406860918891,0.9558745560708731,0.8890250754984226,0.9439898189623115,0.914131748510858,0.8289491248801336,0.8430751928423065,0.832697604432428,0.9035301437585566,0.9445018506847422,-0.09876540477407537,0.8117468769209564,0.8960548925535411,0.6820824774906192,0.7767211857021709,0.8113711330565346,-0.5752145119730389,-0.024343790782412344,0.869086778718351,0.8929369540696581,0.9191387492795821,0.8924467504229189,0.7795271623815287,0.8831480101238147,0.9257264686842142,0.9022359343216068,0.7922352416951695,0.2516672291041797,0.9014235942928895,-0.08388759627235953,0.7510037902724652,0.8503821353118457,0.8509948799732084,0.8962248793521808
ALB,0.9267032040451956,0.8358869044733559,0.7226862955167066,0.7093469538877475,0.8910585508728353,0.8976706636449906,0.768359525284199,-0.2147221912209095,0.7697143674798249,-0.21190804226158644,0.7779019436184073,0.8988943753466604,0.7822570921429068,0.8875524012686987,0.36436346140125236,0.8416558412524624,1.0,0.8737900181822155,0.7768753685407915,0.7764738951775743,0.6174138527272933,0.7129651849542301,0.8079022530421907,0.9170722850714866,0.8357676582758673,0.8811534765257123,0.8806798397860957,0.9226473932139726,0.8042870971541111,0.7423545832793484,0.8139848179415657,0.48418297437041585,0.888732811276248,0.8348732919261489,-0.7268318047170922,0.8753805425274475,0.8152759106902724,0.8593877322549495,0.8520227279787701,0.9112995802632627,0.8265121340161515,0.9213364874219446,0.7631532355998638,0.9029112440076934,0.8067236203744416,0.8803910270457211,0.9120278525308557,0.2249239400217596,0.7410255421678411,0.9042768286851567,0.6632358686811728,0.6789633827047843,0.8511407300178431,-0.6194255498318367,0.6079567974308574,0.8640550020416782,0.8419301268755701,0.8919778774033269,0.8869941872053072,0.8361291279910871,0.8368749596161578,0.8425173822900879,0.913147470464433,0.7473206581924687,0.3859510803426563,0.8706212787580505,-0.07901119047712829,0.6699387333977804,0.8956825780587176,0.8382371396820041,0.8998260044832949
ARE,0.9096624484819817,0.9034901730523333,0.8608405282510201,0.8010004388994477,0.9228228614792373,0.8913525715407602,0.885597113163735,-0.009102678995464046,0.7800618555660442,-0.17815785871467651,0.6897819915660376,0.9508768147958403,0.7827219588671116,0.9434058695203382,0.3652634465023001,0.81555628916577,0.8737900181822155,1.0,0.6866615478524801,0.8465142466993169,0.9637864253103906,0.6529391460752098,0.7021495502149635,0.9325491598594391,0.935020191079432,0.9197377159413808,0.9207652617573399,0.879411934612314,0.8761237963578037,0.836574314917777,0.946359822356232,0.6400296483128372,0.9311915464392883,0.8738326465283444,-0.5784727654252986,0.9101608736141065,0.9490318669985146,0.8593721281258541,0.8253593778467142,0.904052259778418,0.8549858789364498,0.9299580736606623,0.7995985966373808,0.9219148697194,0.9337012641531723,0.9175172986434745,0.8843867356533538,0.14740557620986533,0.8948447286166114,0.9010561068377817,0.6795307678951585,0.8593895684729254,0.8790667892372952,-0.43135083261940377,0.8930393554781132,0.8984363537853268,0.9492901817205418,0.9238784535922394,0.8134472193212415,0.9500377048549508,0.8921453165242613,0.8574421100651152,0.9256625483598993,0.8546896572965368,0.46313712913691685,0.9135437326657126,0.2406998126547097,0.7504635814515928,0.9196995503136642,0.9205958533367669,0.9468793206649523
ALXN,0.8287892135320603,0.790528417254305,-0.15638046452377216,0.5228727236671595,0.7922806912492616,0.6942428157315169,0.604151159694988,-0.35898989884597926,0.9289701923261324,-0.16073078038383506,0.8726800203087184,0.7693108934784822,0.67671052743789,0.819435401144292,0.43513365527992376,0.874737606329911,0.7768753685407915,0.6866615478524801,1.0,0.5619217115405681,-0.6340063120292382,0.9423125958733845,0.970107565255668,0.830865499325418,0.7114900592347724,0.7378417967277653,0.7323403291647506,0.8723134592293806,0.642781986689794,0.06972918936091298,0.6699685702576378,0.502520021062035,0.8157082597745882,0.8227343867847398,-0.7226079101415316,0.8019794849986249,0.6338300939179304,0.8161192157988768,0.9393757608724572,0.8792272415308922,0.8357605181992136,0.8236487005853094,0.6785194886418032,0.7957696380417069,0.6765325238826198,0.7996539911919349,0.8035852778158771,0.12931332235949713,0.6425634391488242,0.8361345521802721,0.44592541124595325,0.3701466038373068,0.821962341856813,-0.6729690558459038,-0.6309249422626036,0.7833235554636215,0.7000277965621547,0.7875667978682094,0.8581575524380213,0.6373582567533517,0.7674489573172923,0.8989425703782887,0.8740965181651316,0.5486864940195515,0.31382272429048,0.8481682703803618,-0.3184093204668518,0.5416603820431973,0.7509451265977867,0.7098740258084062,0.7732379203105069
ALGN,0.8632847773344284,0.9041718789978067,0.9006235533601311,0.9687061705904108,0.9108489729628738,0.920868821520599,0.9680142728242135,0.24628944050474366,0.6583656977496014,0.08413535739002198,0.45029397781660024,0.9019715615187376,0.90921974390985,0.8653566678232477,0.6798680239992974,0.7202556899306168,0.7764738951775743,0.8465142466993169,0.5619217115405681,1.0,0.8434448949060293,0.5299393043220835,0.5797075221602,0.8664469519716649,0.8858434921264602,0.9129063521823977,0.9173137347234278,0.774949501873596,0.9716017197359431,0.6465658952108126,0.8949647525589337,0.4764995148023366,0.8639937890606204,0.8326688229189647,-0.42424320730365694,0.8752761922770386,0.8741075780248739,0.8261696805684364,0.7136662553863566,0.8499928576962974,0.8515334904742482,0.8986842332137006,0.9270002562061478,0.9042343083317768,0.9313900063138078,0.8955194389435843,0.8760018328910737,-0.23966047343954125,0.7485170447774927,0.8979694648409122,0.8930142278301633,0.826629573611134,0.6732916276082581,-0.42482949877876497,0.9540914255706722,0.9138718995203896,0.8389321835627933,0.8963843575526071,0.6943151814594358,0.9336875675790512,0.9242592072626056,0.760630856332808,0.752793409771632,0.9180534291460095,0.03649386164155669,0.821814266461753,0.13925816915376948,0.8074519413515865,0.9247203025752002,0.8912070035845264,0.9157049267914534
