,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
EXCL.JK,0.09561561173092073,-0.5895558109577373,0.887558739532494,0.4918508294861848,-0.24353630338784796,0.2867878674872369,0.5172010389921097,0.46492113240480626,0.32079690250944165,0.11721974176965833,1.0,0.1499336977042226,0.01323300901829884,0.4667563336966174,-0.05286050743432968,0.6091945338823079,0.4823490922726777,0.3140346625842125,0.5490759866166873,0.3953224140656712,-0.5755901474293224,0.07445114037026322,-0.5459938774885341,0.4964679141495016,0.6867939652558319,0.6059779729913631,0.34436423589873894,0.22331333705545156,0.23562427498821234,-0.8056689264590459
ICBP.JK,0.18921310038788564,-0.37411341365710843,0.9490698155746821,0.9238765756607061,0.574566057279899,0.7853703127833642,0.7106110697507276,0.8373895500850433,0.9093919188538973,-0.04966732590399911,0.1499336977042226,1.0,-0.06287624225314943,0.9292238161768747,-0.18750211642425973,0.8500924257743827,0.10494179030402902,0.8926997508607315,0.7229416379155331,0.9241121076275076,-0.4776243932212519,0.8636238748222009,0.7620342282338085,0.8333812122052686,0.6683050598810086,0.7329275351197693,0.8571222605180674,0.9811608736036047,0.8031562817203146,-0.7621930428345421
INCO.JK,0.620523500127046,-0.14105681090640365,0.8804737759187768,-0.10637609268331541,0.2400974446402207,-0.13962659876058045,-0.5728481590044621,-0.03934737293104564,-0.09677216566979754,0.3154773791008668,0.01323300901829884,-0.06287624225314943,1.0,-0.005981525979955228,0.6361819247347456,-0.008020854247789175,0.3195518189565669,-0.017166046334537628,-0.2800562858154333,-0.10571278363918281,0.14875706561461116,0.13629625492498204,-0.2942456616563061,-0.1692385191741592,0.019881447051455153,0.6902584123817355,0.13668377981620314,-0.09239442822790188,-0.2956275800817506,-0.4851449910155252
INDF.JK,0.25256189874547524,-0.18882509539108194,0.8402133176734737,0.9770700574858086,0.41747498279063616,0.9087920691983261,0.48649726917241776,0.8713069191216972,0.9320385079938759,-0.16022660884732326,0.4667563336966174,0.9292238161768747,-0.005981525979955228,1.0,-0.23123929158640844,0.9522945108671262,0.26307955833510843,0.887453722187767,0.8643236147687888,0.9510175146644008,-0.6387708635130803,0.7715199762543516,0.7380931832624741,0.8996429230181243,0.8452360731447283,0.6842933292142324,0.9052434826665834,0.939994966244835,0.835197061252042,-0.7070904347256266
INDY.JK,0.7910316572042438,0.3754000498020977,-0.24958642173152357,-0.2891844567609573,0.3793930089072228,-0.4243663731615006,-0.7047880796166531,-0.19843676985009698,-0.4711438421580478,0.46417855941904934,-0.05286050743432968,-0.18750211642425973,0.6361819247347456,-0.23123929158640844,1.0,-0.24566430612635504,0.6689975938486581,-0.06300160386690944,-0.3796892828098472,-0.4149695065019556,-0.22808841966294632,0.28215062935978713,-0.4781759650498137,-0.5490736441609688,-0.36432240248409203,0.22975256660339907,0.33689661591562753,-0.184907795099784,-0.58566449729292,0.5784601739084674
INTP.JK,0.10727222370724167,-0.29025168186558475,0.5857319705446605,0.9471675589514138,0.3617280617668637,0.8305723744163257,0.7866091433283915,0.882981498004539,0.891185110510221,0.10821240835713075,0.6091945338823079,0.8500924257743827,-0.008020854247789175,0.9522945108671262,-0.24566430612635504,1.0,0.3379973601990106,0.8271942417941475,0.9357474306066482,0.9154731174835506,-0.7018552728333893,0.7189006102247248,0.4999405069140557,0.8819171038070017,0.9489584327316066,0.6129359092912451,0.8895359708315611,0.8719864419710419,0.8035850367865012,-0.3068491616810557
ITMG.JK,0.7689827987498674,0.28532671770767837,-0.8106214009168602,0.27688531777098685,0.34704959969109017,0.0007954074670980695,-0.7829259663759389,0.3823609039775764,-0.06508381519854439,0.6932687889984027,0.4823490922726777,0.10494179030402902,0.3195518189565669,0.26307955833510843,0.6689975938486581,0.3379973601990106,1.0,0.4377970632142185,0.22659968366727243,0.07548126044715889,-0.5970031767572459,0.4779388133176809,-0.6918677343024834,-0.013770194475593902,0.34974322943541597,-0.5225467867983675,0.6044153293232447,0.11898716561963193,-0.1563895674487246,0.7840071213441017
JPFA.JK,0.2896312495769134,0.24525949097026856,0.15622752623584438,0.9042564947676784,0.5619296590207917,0.6345130900613408,-0.34253634406042427,0.9372544864808402,0.8035677490466333,0.5603021464543769,0.3140346625842125,0.8926997508607315,-0.017166046334537628,0.887453722187767,-0.06300160386690944,0.8271942417941475,0.4377970632142185,1.0,0.6929097540120093,0.8436525083054843,-0.5356781486577361,0.8771137509735097,0.27338991217998904,0.7821155419384251,0.7600559810856855,0.5435707206116535,0.8404506483445886,0.8577004420092544,0.6064797313306913,0.21726268142413022
JSMR.JK,-0.02840500346116659,0.14246603243187358,0.16872452487297493,0.9099353354915793,0.15273288973415536,0.8792475811518268,0.8292913338725949,0.8185398862691694,0.8527017056065307,-0.060602136315726425,0.5490759866166873,0.7229416379155331,-0.2800562858154333,0.8643236147687888,-0.3796892828098472,0.9357474306066482,0.22659968366727243,0.6929097540120093,1.0,0.90748615041909,-0.4502698214031288,0.4451684345095742,0.5359318927962107,0.9022536634014492,0.9045295497077781,0.16478771509152823,0.61013884682414,0.7744050395232578,0.8564748148371484,0.3015456137540005
KLBF.JK,-0.00517622217441277,0.11926289676966653,0.5682822005896692,0.957286086629441,0.35867426336016056,0.9246947043147072,0.4053933767559165,0.8595606703782855,0.9533210035853115,-0.30427954748229846,0.3953224140656712,0.9241121076275076,-0.10571278363918281,0.9510175146644008,-0.4149695065019556,0.9154731174835506,0.07548126044715889,0.8436525083054843,0.90748615041909,1.0,-0.5250463241404772,0.7142298175803018,0.8157445129434611,0.9521174669938234,0.835618601628124,0.5706120148860584,0.7907234977588588,0.9435860619959934,0.9368463126500789,-0.3496001752586757
