Date,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
2000-11-29,,,,3.25897479057312,,,,,61.86715698242188,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,255.2701568603516,,,
2000-11-30,,,,3.25897479057312,,,,,64.07663726806639,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,255.2701568603516,,,
2000-12-01,,,,3.151536703109741,,,,,61.86715698242188,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,252.2672119140625,,,
2000-12-04,,,,3.187349796295166,,,,,59.657569885253906,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,249.26373291015625,,,
2000-12-05,,,,3.187349796295166,,,,,59.657569885253906,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,252.2672119140625,,,
2000-12-06,,,,3.223161220550537,,,,,61.86715698242188,,,308.41131591796875,,509.93878173828125,,1158.49365234375,,,,,,,,,,,255.2701568603516,,,
2000-12-07,,,,3.223161220550537,,,,,61.86715698242188,,,317.7571105957031,,525.3914794921875,,1140.940673828125,,,,,,,,,,,255.2701568603516,,,
2000-12-08,,,,3.151536703109741,,,,,57.44807434082031,,,308.41131591796875,,509.93878173828125,,1123.3876953125,,,,,,,,,,,252.2672119140625,,,
2000-12-11,,,,3.079911470413208,,,,,57.44807434082031,,,308.41131591796875,,509.93878173828125,,1088.281982421875,,,,,,,,,,,255.2701568603516,,,
2000-12-12,,,,2.9724550247192383,,,,,55.23847579956055,,,299.0655212402344,,494.4859924316406,,1070.72900390625,,,,,,,,,,,252.2672119140625,,,
2000-12-13,,,,2.9724550247192383,,,,,57.44807434082031,,,299.0655212402344,,494.4859924316406,,1176.046630859375,,,,,,,,,,,249.26373291015625,,,
2000-12-14,,,,2.9724550247192383,,,,,55.23847579956055,,,308.41131591796875,,509.93878173828125,,1176.046630859375,,,,,,,,,,,255.2701568603516,,,
2000-12-15,,,,2.9724550247192383,,,,,50.81938552856445,,,299.0655212402344,,494.4859924316406,,1211.15234375,,,,,,,,,,,258.27359008789057,,,
2000-12-18,,,,2.9008302688598637,,,,,50.81938552856445,,,289.7196960449219,,479.0333862304688,,1193.5994873046875,,,,,,,,,,,264.2799072265625,,,
2000-12-19,,,,2.9008302688598637,,,,,50.81938552856445,,,289.7196960449219,,479.0333862304688,,1123.3876953125,,,,,,,,,,,258.27359008789057,,,
2000-12-20,,,,2.9008302688598637,,,,,50.81938552856445,,,289.7196960449219,,479.0333862304688,,1123.3876953125,,,,,,,,,,,258.27359008789057,,,
2000-12-21,,,,2.9008302688598637,,,,,50.81938552856445,,,289.7196960449219,,479.0333862304688,,1105.8348388671877,,,,,,,,,,,258.27359008789057,,,
2000-12-22,,,,2.8650190830230717,,,,,53.02898025512695,,,289.7196960449219,,479.0333862304688,,1123.3876953125,,,,,,,,,,,255.2701568603516,,,
