"ICBP","ICBP.JK"," Indofood CBP Sukses Makmur Tbk."
"ICON","ICON.JK"," Island Concepts Indonesia Tbk. "
"IDPR","IDPR.JK"," Indonesia Pondasi Raya Tbk."
"IGAR","IGAR.JK"," Champion Pacific Indonesia Tbk."
"IIKP","IIKP.JK"," Inti Agri Resources Tbk."
"IKAI","IKAI.JK"," Intikeramik Alamasri Industri Tbk."
"IKBI","IKBI.JK"," Sumi Indo Kabel Tbk."
"IMPC","IMPC.JK"," linpack Pratama Industri Tbk."
"INAF","INAF.JK"," Indofarma (Persero) Tbk."
"INCI","INCI.JK"," Intanwijaya Internasional Tbk."
"INCO","INCO.JK"," Vale Indonesia Tbk."
"INDF","INDF.JK"," Indofood Sukses Makmur Tbk."
"INDR","INDR.JK"," Indo-Rama Synthetics Tbk."
"INDS","INDS.JK"," Indospring Tbk."
"INDY","INDY.JK"," Indika Energy Tbk."
"INPP","INPP.JK"," Indonesian Paradise Property Tbk."
"INPS","INPS.JK"," Indah Prakasa Sentosa Tbk."
"INTD","INTD.JK"," Inter Delta Tbk."
"INTP","INTP.JK"," Indocement Tunggal Prakarsa Tbk."
"IPCC","IPCC.JK"," Indonesia Kendaraan Terminal Tbk."
"IPCM","IPCM.JK"," Jasa Armada Indonesia Tbk."
"IPOL","IPOL.JK"," Indopoly Swakarsa Industry Tbk."
"ISAT","ISAT.JK"," Indosat Tbk."
"ITMA","ITMA.JK"," Sumber Energi Andalan Tbk."
"ITMG","ITMG.JK"," Indo Tambangraya Megah Tbk."
"ITTG","ITTG.JK"," Leo Investments Tbk."
"JAST","JAST.JK"," Jasnita Telekom indo Tbk."
"JECC","JECC.JK"," Jembo Cable Company Tbk."
"JGLE","JGLE.JK"," Graha Andrasentra Propertindo Tbk."
"JIHD","JIHD.JK"," Jakarta International Hotels & Development Tbk."
"JKON","JKON.JK"," Jaya Konstruksi Manggala Pratama Tbk."
"JKSW","JKSW.JK"," Jakarta Kyoei Steel Works Tbk."
"JMAS","JMAS.JK"," Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk."
"JPFA","JPFA.JK"," Japfa Comfeed Indonesia Tbk."
"JRPT","JRPT.JK"," Jaya Real Property Tbk."
"JSMR","JSMR.JK"," Jasa Marga (Persero) Tbk."
"JSPT","JSPT.JK"," Jakarta Setiabudi Internasional Tbk."
"JTPE","JTPE.JK"," Jasuindo Tiga Perkasa Tbk."
"KAEF","KAEF.JK"," Kimia Farina (Persero) Tbk."
"KARW","KARW.JK"," ICTSI Jasa Prima Tbk."
"KAYU","KAYU.JK"," Darmi Bersaudara Tbk."
"KBLI","KBLI.JK"," KM I Wire & Cable Tbk. "
"KBLM","KBLM.JK"," Kabelindo Murni Tbk."
"KBLV","KBLV.JK"," First Media Tbk."
"KDSI","KDSI.JK"," Kedawung Setia Industrial Tbk."
"KIAS","KIAS.JK"," Keramika Indonesia Assosiasi Tbk."
"KICI","KICI.JK"," Kedaung Indah Can Tbk."
"KIJA","KIJA.JK"," Kawasan Industri Jababeka Tbk."
"KINO","KINO.JK"," Kino Indonesia Tbk."
"KIOS","KIOS.JK"," Kioson Komersial Indonesia Tbk."
"KJEN","KJEN.JK"," Krida Jaringan Nusantara Tbk."
"KKGI","KKGI.JK"," Resource A lam Indonesia Tbk."
"KLBF","KLBF.JK"," Kalbe Farma Tbk."
"KOBX","KOBX.JK"," Kobexindo Tractors Tbk."
"KOIN","KOIN.JK"," Kokoh Inti Arebama Tbk."
"KOPI","KOPI.JK"," Mitra Energi Fersada Tbk."
"KOTA","KOTA.JK"," DMS Propertindo Tbk."
"KPAS","KPAS.JK"," Cottonindo Ariesta Tbk."
"KPIG","KPIG.JK"," MNC Land Tbk."
"KREN","KREN.JK"," Kresna Graha Investama Tbk."
"LAND","LAND.JK"," Trimitra Propertindo Tbk."
"LAPD","LAPD.JK"," Leyand International Tbk."
